,drink_name,category,instructions,picture,taste,ingredients1,quantity1,ingredients2,quantity2,ingredients3,quantity3,ingredients4,quantity4,ingredients5,quantity5,ingredients6,quantity6,ingredients7,quantity7,ingredients8,quantity8,ingredients9,quantity9,ingredients10,quantity10,ingredients11,quantity11,ingredients12,quantity12
222,Blind Luck,,"Hard vigorous shake with high density ice for 5-6 seconds. Hawthorne and fine strain into a chilled martini glass. Garnish with a mint sprig spanked and lightly rubbed around the edge of the glass. Raspberry garnish and mint sprig attached to the raspberry. Channel zest lemon bath over the glass.. . *Strawberry-Raspberry Turbinado ""Sugar in the Raw"" Simple Syrup:. -- 2 C Water. -- 2 C Sugar in the Raw Turbinado Sugar. -- 15 Raspberries. -- 3 Strawberries, quartered. -- 3 Mint Leaves. . As the water boils, slowly add sugar a few spoon fulls at a time and whisk vigorously into the boiling water until all 2 cups have been dissolved. Continue to keep on high heat for 5 mins.. Then take raspberries, strawberries, and mint leaves and macerate all components together and add into the boiling simple syrup.. Reduce heat to low-medium heat for the next 15 mins.. After that allow simple syrup to cool down and rest for additional 15 mins. . Double strain the simple syrup through fine strainers until all fruit, seeds and mint leaves are strained out.  Allow to cool.",,,luxardo bitter bianco,1 oz,old tom gin,2.5 oz,real lemon juice,2 bsp,strawberry-raspberry simple syrup*,2 bsp,,,,,,,,,,,,,,,,
223,Blind Russian,"milk , float , shake, ordinary drink",Fill glass with ice. Add all liquers. Add milk. shake.,http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,sour,bailey's irish cream,3/4 oz,godiva liqueur,3/4 oz,kahlua,3/4 oz,butterscotch schnapps,1/2 oz,milk,to fill,,,,,,,,,,,,,,
224,Blinker,,1. Add ingredients to cocktail shaker. 2. Fill shaker with ice and mix ingredients. 3. Strain cocktail into a chilled glass.,,fresh,rye whiskey,6 cl,grapefruit juice,3 cl,raspberry syrup,1.5 cl,,,,,,,,,,,,,,,,,,
225,Blood & Sand,,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into coupe glass. Flame orange zest over the top of the glass.,,,glenrothes vintage reserve,.75 oz,tempus fugit alessio vermouth di torino rosso,.75 oz,luxardo sangue morlacco cherry liqueur,.75 oz,orange juice,.75 oz,,,,,,,,,,,,,,,,
226,Blood and Sand,,1. Add ingredients to cocktail shaker. 2. Fill shaker with ice and mix ingredients. 3. Strain cocktail into a chilled glass.,,sweet,scotch whisky,2 cl,sweet vermouth,2 cl,cherry heering,2 cl,orange juice,2 cl,,,,,,,,,,,,,,,,
227,Bloody Fernet,,Pour the ingredients in a blender and blend until smooth. Serve in a cocktail glass or coupe.,,,luxardo fernet,1 oz,luxardo maraschino liqueur,.75 oz,op blood orange sorbet,2 sc,,,,,,,,,,,,,,,,,,
228,Bloody Maria,"ordinary drink, ordinary drink",Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,sour,tequila,1 oz,tomato juice,2 oz,lemon juice,1 dash,tabasco sauce,1 dash,celery salt,1 dash,lemon,1 slice,,,,,,,,,,,,
229,Bloody Mary,"ordinary drink, ordinary drink","Stirring gently, pour all ingredients into highball glass. Garnish.",http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,sour,vodka,1 1/2 oz,tomato juice,3 oz,lemon juice,1 dash,worcestershire sauce,1/2 tsp,tabasco sauce,2-3 drops,lime,1 wedge,,,,,,,,,,,,
230,Bloody Swede,,Combine all ingredients in a large pitcher and mix well. Store in fridge over night to let all the flavors meld together.,,,karlsson's gold vodka,2 oz,bloody mix*,2 oz,caper berry,1,celery stalk,1,cherry tomato,1,ni,1  pepperonc,led okra,1  pic,tail onion,1  coc,pipparas pepper,1,,1  lemon slic,jalapeno stuffed olive,1,,
231,Blue 88,,Shake well with lots of ice. Strain into cocktail glass.,,,no.3 london dry gin,1.5 oz,lemon juice,.25 oz,pages elderflower syrup,.25 oz,tempus fugit liqueur de violettes,.25 oz,luxardo maraschino liqueur,.25 oz,,,,,,,,,,,,,,
232,Blue Lagoon,"ordinary drink, ordinary drink","Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg,sour,vodka,1 oz,blue curacao,1 oz,lemonade,,cherry,,,,,,,,,,,,,,,,,
233,Blue Margarita,"ordinary drink, ordinary drink","Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg,,tequila,1 1/2 oz,blue curacao,1 oz,lime juice,1 oz,salt,coarse,,,,,,,,,,,,,,,,
234,Blue Mountain,"ordinary drink, ordinary drink","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg,sweet,añejo rum,1 1/2 oz,tia maria,1/2 oz,vodka,1/2 oz,orange juice,1 oz,lemon juice,1 tsp,,,,,,,,,,,,,,
235,Bluebird,"ordinary drink, shot","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,,gin,1 1/2 oz,triple sec,1/2 oz,blue curacao,1/2 oz,bitters,2 dashes,maraschino cherry,1,lemon peel,1 twist of,,,,,,,,,,,,
236,Bob Marley,"shot, ordinary drink",Layer in a 2 oz shot glass or pony glass,http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,,midori melon liqueur,1/2 oz,jägermeister,1/2 oz,goldschlager,1/2 oz,,,,,,,,,,,,,,,,,,
237,Bobby Burns,,Combine ingredients together and serve,,sweet,scotch whisky,4 cl,sweet vermouth,4 cl,benedictine,3 dashes,,,,,,,,,,,,,,,,,,
238,Bobby Burns Cocktail,"ordinary drink, ordinary drink",Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,sweet,sweet vermouth,1 1/2 oz,scotch,1 1/2 oz,benedictine,1 1/4 tsp,lemon peel,1 twist of,,,,,,,,,,,,,,,,
239,Boko Buku,,Combine all ingredients in a shaker tin and shake vigorously. Double strain with a fine mesh strainer into a highball glass.,,,mezcal,1.5 oz,don ciccio & figli concerto,.75 oz,vanilla marinade,.125 oz,mole bitters,8 dash,,,,,,,,,,,,,,,,
240,Bon Voyage Pisco Punch,,"*Pineapple Gomme: . Mix equal parts (1.5 cups) gum arabic with water over high heat until it all mixes and then let cool for a bit. Then you're gonna make a sugar syrup with 2 parts sugar, 1 part water (4 cups water, 2 cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter. Then cut up 1.5 cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night. A few hours would work also if you don't have that much time. However, the more time, the more pineapple infusion takes place. When it's ready, strain into another mason jar or bottle, and it's ready to go.",,,barsol selecto italia pisco,1500 ml,lemon juice,750 ml,pineapple gomme syrup*,750 ml,fee bros lemon bitters,.5 oz,old vine zin,1 float,,,,,,,,,,,,,,
241,Boomerang,"ordinary drink, milk , float , shake","In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,sweet,gin,2 oz,dry vermouth,1/2 oz,bitters,2 dashes,maraschino liqueur,1/2 tsp,maraschino cherry,1,,,,,,,,,,,,,,
242,Boomin' Granny,,Shake with ice and fine strain into a champagne flute. Top with sparkling wine and garnish with Granny Smith Apple fan.,,,h by hine,1.5 oz,granny smith apple juice,1 oz,fresh lime juice,.5 oz,acacia honey syrup,.5 oz,sparkling wine,top,,,,,,,,,,,,,,
243,Boozy Snickers Milkshake,"milk , float , shake, ordinary drink","Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,,vanilla ice-cream,3 cups,milk,1 cup,godiva liqueur,1/2 cup,whipped cream,for topping,caramel sauce,4 tablespoons,chocolate sauce,4 tablespoons,mini-snickers bars,15,,,,,,,,,,
244,Bora Bora,cocktail,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,,pineapple juice,10 cl,passion fruit juice,6 cl,lemon juice,1 cl,grenadine,1 cl,,,,,,,,,,,,,,,,
245,Boston Sidecar,"ordinary drink, ordinary drink","Shake all ingredients with ice, strain into a cocktail glass, and serve.",http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,egg,light rum,3/4 oz,brandy,3/4 oz,triple sec,3/4 oz,lime,juice of 1/2,,,,,,,,,,,,,,,,
246,Boston Sour,"ordinary drink, ordinary drink","Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,sour,blended whiskey,2 oz,lemon,juice of 1/2,powdered sugar,1 tsp,egg white,1,lemon,1 slice,cherry,1,,,,,,,,,,,,
247,Boulevard,,Combine ingredients together and serve,,boozy,bourbon whiskey,7.5 cl,grand marnier,1.5 cl,dry vermouth,3 cl,orange bitters,2 dashes,,,,,,,,,,,,,,,,
248,Boulevardier,,Combine ingredients together and serve,,bitter sweet,bourbon whiskey,3 cl,sweet vermouth,3 cl,campari,3 cl,,,,,,,,,,,,,,,,,,
249,Bourbon Crusta,,"Stir with pebble ice, strain into rimmed vintage glass.",,,bourbon,2 oz,orchard syrup,.25 oz,lemon juice,.25 oz,luxardo triplum (triple sec),1 bsp,luxardo maraschino liqueur,1 bsp,boker’s bitters,3 dash,,,,,,,,,,,,
250,Bourbon Sling,"ordinary drink, ordinary drink","In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,sweet,sugar,1 tsp superfine,water,2 tsp,lemon juice,1 oz,bourbon,2 oz,lemon peel,1 twist of,,,,,,,,,,,,,,
251,Bourbon Sour,"ordinary drink, ordinary drink","In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.",http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,sour,bourbon,2 oz,lemon juice,1 oz,sugar,1/2 tsp superfine,orange,1,maraschino cherry,1,,,,,,,,,,,,,,
252,Boxcar,"ordinary drink, punch , party drink","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,,gin,1 1/2 oz,triple sec,1 oz,lemon juice,1 tsp,grenadine,1/2 tsp,egg white,1,,,,,,,,,,,,,,
253,Brain Fart,"punch , party drink, shot",Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,cream,everclear,1 fifth,vodka,1 fifth smirnoff red label,mountain dew,2 l,surge,2 l,lemon juice,1 small bottle,rum,1 pint,,,,,,,,,,,,
254,Brainteaser,"shot, ordinary drink","layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.",http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,,sambuca,30 ml white,erin cream,30 ml,advocaat,5 ml,,,,,,,,,,,,,,,,,,
255,Bramble,"ordinary drink, soft drink , soda","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,cream,gin,4 cl,lemon juice,1.5 cl,sugar syrup,1 cl,creme de mure,1.5 cl,,,,,,,,,,,,,,,,
256,Brandon and Will's Coke Float,"soft drink , soda, ordinary drink","Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy.",http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,cream,vanilla ice-cream,2 scoops,coca-cola,1 can,bourbon,2 oz,,,,,,,,,,,,,,,,,,
257,Brandy Alexander,"ordinary drink, ordinary drink",Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,sweet,brandy,1 oz,creme de cacao,1 oz white,light cream,1 oz,nutmeg,,,,,,,,,,,,,,,,,
258,Brandy Cobbler,"ordinary drink, ordinary drink","In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.",http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,egg,sugar,1 tsp superfine,club soda,3 oz,lemon,1,brandy,2 oz,maraschino cherry,1,orange,1,,,,,,,,,,,,
259,Brandy Flip,"ordinary drink, ordinary drink","In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,sour,brandy,2 oz,egg,1 whole,sugar,1 tsp superfine,light cream,1/2 oz,nutmeg,1/8 tsp grated,,,,,,,,,,,,,,
260,Brandy Sour,"ordinary drink, shot","Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.",http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,spicy,brandy,2 oz,lemon,juice of 1/2,powdered sugar,1/2 tsp,lemon,1/2 slice,cherry,1,,,,,,,,,,,,,,
261,Brave Bull Shooter,"shot, shot",Pour Tabasco into bottom of shot glass and fill with tequila.,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,,tequila,1/2 oz,tabasco sauce,1/2 oz,,,,,,,,,,,,,,,,,,,,
262,Brazilian Mai Tai,,"Pour all ingredients and shake in tin. Pour into bucket. Top with rum float, then garnish.",,,ypioca brasilizar cachaca prata classica,1.5 oz,mai tai mix,3 oz,soda water,1 splash,english harbour rum,1 float,,,,,,,,,,,,,,,,
263,Brazilian Mule Punch,,"Punch Preparation Instructions:. Combine Ypioca, lime and syrup in bowl. Top with ginger beer and Angostura bitters* (amounts will depend on size of punch and number of anticipated servings). Garnish with thin-sliced dried ancho chiles and lime wheels to float. . . *You can optionally skip adding Angostura in punch and instead add a dash or 2 to each individual cocktail as served.. . . Individual Cocktail Preparation Instructions:. Combine ingredients exactly the same way as a traditional Moscow Mule over crushed ice. Garnish with dash or 2 bitters and ancho chile slices. Mint is an optional garnish.",,,brasilizar cachaca prata reserva especial,2 part ypioc,,1 part fresh lime juic,o chile-infused simple syrup,1 part anc,ginger beer,1 float,angostura bitters,2 dash,,,,,,,,,,,,,,
264,Brisa del Sur,,Top with Grapefruit soda. Shake and strain into ice filled glass.,,,barsol selecto italia pisco,1.5 oz,rocoto passion fruit reduction,.5 oz,fresh lime juice,.5 oz,simple syrup,.5 oz,,,,,,,,,,,,,,,,
265,Bruce's Puce,"shot, shot","In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)",http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,,grenadine,,kahlua,,bailey's irish cream,,,,,,,,,,,,,,,,,,,
266,Bruised Heart,"shot, shot","Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,,vodka,1/2 oz,chambord raspberry liqueur,1/2 oz,peachtree schnapps,1/2 oz,cranberry juice,1/2 oz,,,,,,,,,,,,,,,,
267,Bubble Gum,"shot, beer",Layer in order into a shot glass.,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,,vodka,4-jan,banana liqueur,4-jan,orange juice,4-jan,peach schnapps,4-jan,,,,,,,,,,,,,,,,
268,Bubbleliciously Delicious,,Serve cold and garnish with a scoop of vanilla bean ice cream swirled with Luxardo Maraschino Cherry Juice.,,,luxardo fernet,.5 oz,luxardo triplum (triple sec),1.5 oz,angostura bitters,1 dash,s satsuma slices,2 slic,sioux city sarsparilla soda,2 oz,,,,,,,,,,,,,,
269,Bubbly Bird,,Dash each bitter and the Fernet over sugar cube in base of Champagne glass so that the sugar is fully saturated with mixture. Add Pink Pigeon Rum and top with chilled Champagne. Garnish with a twist of lemon.,,,pink pigeon rum,1 oz,fill champagne,1,angostura bitters,1 dash,peach bitters,1 dash,luxardo fernet,1 dash,,,,,,,,,,,,,,
270,Buccaneer,"beer, shot",Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,,corona,1,bacardi limon,1 shot,,,,,,,,,,,,,,,,,,,,
271,Buenaventura,,Combine all ingredients. Shake and strain into cocktail glass. Garnish with an orange peel.,,,barsol primero quebranta pisco,.75 oz,el tesoro reposado tequila,.75 oz,grüner veltliner,.5 oz,lime,.5 oz,pineapple gum,.25 oz,sweet marmalade,1 bsp,,,,,,,,,,,,
272,Bumble Bee #1,"shot, milk , float , shake","This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,,bailey's irish cream,1/3 oz,kahlua,1/3 oz,sambuca,1/3 oz,,,,,,,,,,,,,,,,,,
273,Bunny Poison,,"Combine all ingredients in Perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (For home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.). Spray with atomized Old Tom Gin.. Garnish with cucumber peel or candied rhubarb slice.. . *Rhubarb Cucumber & Mint-Infused Junipero Gin:. -- 1 bottle Junipero Gin. -- 1 qt Chopped Rhubarb. -- 1 Chopped Large English Cucumber. -- .5 Bunch (15g) Fresh Mint (with stems). . Combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (For home use, combine all ingredients in plastic container and let rest for one week.). . *Rhubarb Syrup:. Juice 1 qt (8-10 Stalks). Add to 1 qt of unbleached Cane sugar in saucepan and bring to simmer.. Remove from heat, allow to cool and strain in Chinoise.",,,rhubarb cucumber & mint-infused junipero gin,2 oz,lemon juice,.75 oz,tempus fugit alessio vermouth bianco,.75 oz,rhubarb juice,.5 oz,grapefruit juice,.5 oz,rhubarb syrup,.5 oz,fee brothers celery bitters,2 dash,,,,,,,,,,
274,Bushido Cocktail,,Stir ingredients and strain into cocktail glass. Garnish with Luxardo Cherry.,,,nikka whisky taketsuru pure malt 12 yo,2 oz,pedro ximenez sherry,.5 oz,angostura bitters,2 dash,,,,,,,,,,,,,,,,,,
275,Buster Crusta,,"Shake, fine strain into chilled frosted coupe, float Fernet.",,,h by hine,2 oz,lemon juice,1 oz,the genuine curacao liqueur orange,.75 oz,luxardo maraschino liqueur,.5 oz,small hand foods gum syrup,.5 oz,luxardo fernet,1 bsp,,,,,,,,,,,,
276,Butter Baby,"milk , float , shake, coffee , tea",Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,,vanilla ice-cream,2 scoops,butterscotch schnapps,1 part,milk,full glass,vodka,2 parts,,,,,,,,,,,,,,,,
277,Buttermilk maple gin flip,,1. Add ingredients to cocktail shaker. 2. Fill shaker with ice and mix ingredients. 3. Strain cocktail into a chilled glass.,,unknown,gin,6 cl,buttermilk,3 cl,egg,1 whole,maple syrup,1 bar spoon,,,,,,,,,,,,,,,,
278,Buzzard's Bay,,Build and pour in punch bowl over large ice block.,,,part no.3 london dry gin,2,,.5 part real cranberry juic,part luxardo fernet,.25,,.5 part lime juic,tea,1.5 part puer blac,,,,,,,,,,,,,,
279,Cafe Creole,,"In one shaker, mix heavy cream and simple syrup and dry shake vigorously until it's whipped.. In another, shake Pink Pigeon Rum and Luxardo Espresso with ice.  Pour into a coupe, and then carefully top with the cream.  It should layer perfectly.  The vanilla complexity of the rum pairs awesomely with coffee and cream.. ",,,pink pigeon rum,1.5 oz,luxardo espresso italian liqueur,1 oz,heavy cream,1.5 oz,simple syrup,.75 oz,,,,,,,,,,,,,,,,
280,Cafe Savoy,"coffee , tea, ordinary drink","Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,,coffee,,milk,1/2 oz,triple sec,1/2 oz,brandy,,,,,,,,,,,,,,,,,
281,Caipirinha,"ordinary drink, ordinary drink",Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,,sugar,2 tsp,lime,1,cachaca,2 1/2 oz,,,,,,,,,,,,,,,,,,
282,Caipirissima,"ordinary drink, ordinary drink",Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,sweet,lime,2,sugar,2 tblsp,white rum,2-3 oz,ice,crushed,,,,,,,,,,,,,,,,
283,California Aurora,,,,,luxardo aperitivo,1.5 oz,luxardo apricot liqueur,.5 oz,honey syrup,.5 oz,fresh lemon juice,.75 oz,california poppy oil,4 dash,anchor california lager,1 float,fresh sage leaves,6,,,,,,,,,,
284,California Lemonade,"ordinary drink, soft drink , soda",Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,sweet,blended whiskey,2 oz,lemon,juice of 1,lime,juice of 1,powdered sugar,1 tblsp,grenadine,1/4 tsp,carbonated water,,,,,,,,,,,,,
285,California Root Beer,"soft drink , soda, beer",Put Kahlua and Galliano in highball glass fill with soda,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,,kahlua,3/4 oz,galliano,3/4 oz,soda water,fill with,,,,,,,,,,,,,,,,,,
286,California's Callin',,"Combine Gin, Maraschino, juices, and bitters in an ice-filled mixing tin and shake for 20-30 seconds, or until well chilled. Strain over fresh ice into a Collins glass, top with the California Lager, and garnish with the grapefruit peel.",,,junipero gin,1.5 oz,luxardo maraschino liqueur,.5 oz,grapefruit juice,1 oz,lemon juice,.75 oz,tempus fugit abbott's bitters,1 dash,or california lager,to fill anc,,,,,,,,,,,,
287,Campari Beer,"beer, beer",Use a 15 oz glass. Add Campari first. Fill with beer.,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,,lager,1 bottle,campari,1 1/2 cl,,,,,,,,,,,,,,,,,,,,
288,Canary vs. the Coal Mine,,Stir and strain into an old fashioned glass with a large ice cube.,,,old forester bonded bourbon,.5 oz,h by hine,.5 oz,rock & rye,1 oz,cocchi americano rosa,1 oz,ivated charcoal,ac,,,,,,,,,,,,,,
289,Cap't of the Seven Seas,,Combine all ingredients in a shaker tin and shake vigorously. Double strain using a fine mesh strainer. Serve in a lager glass over ice.,,,ypioca brasilizar cachaca ouro reserva especial,2 oz,jalapeno-orange simple syrup,1 oz,coconut milk,1 oz,orange flower water,4 dash,mole bitters,9 drops,,,,,,,,,,,,,,
290,Caribbean Boilermaker,"beer, ordinary drink",Pour the Corona into an 18oz beer glass pour the rum into the beer.,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,,corona,1 bottle,light rum,1 shot,,,,,,,,,,,,,,,,,,,,
291,Caribbean Orange Liqueur,homemade liqueur,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,,orange,3 large,vodka,3 cups,sugar,1 1/3 cup superfine,,,,,,,,,,,,,,,,,,
292,Carrier Pigeon (an Airmail with Pink Pigeon),,Short shake-strain into champagne flute- top with champagne. . Drop a Luxardo cherry into the flute.. ,,,pink pigeon rum,1 oz,lime juice,.5 oz,honey,.5 oz,,,,,,,,,,,,,,,,,,
293,Casino,"ordinary drink, ordinary drink",Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,fresh,gin,2 oz,maraschino liqueur,1/4 tsp,lemon juice,1/4 tsp,orange bitters,2 dashes,cherry,1,,,,,,,,,,,,,,
294,Casino Royale,"ordinary drink, ordinary drink","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,,gin,2 oz,lemon juice,1/2 oz,maraschino liqueur,1 tsp,orange bitters,1 dash,egg yolk,1,,,,,,,,,,,,,,
295,Castillian Hot Chocolate,cocoa,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.",http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,,cocoa powder,1/2 cup,sugar,1 cup,cornstarch,7 tsp,water,1/2 cup,milk,1 qt,,,,,,,,,,,,,,
296,Champagne Cocktail,"ordinary drink, cocktail",Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,sweet,champagne,chilled,sugar,1 piece,bitters,2 dashes,lemon peel,1 twist of,cognac,1 dash,,,,,,,,,,,,,,
297,Champagne Sidecar,,,,,h by hine,.75 oz,luxardo triplum (triple sec),.75 oz,lemon juice,.5 oz,simple syrup,.25 oz,champagne,1 oz,,,,,,,,,,,,,,
298,Champs Élysées,,Shake with intent. Double strain in coupe. Garnish with lemon wheel.,,,h by hine,2 oz,lemon juice,.75 oz,green chartreuse,.5 oz,simple syrup,.25 oz,angostura bitters,2 dash,,,,,,,,,,,,,,
299,Chapman Cobbler,,Combine all ingredients in a shaker tin filled with crushed ice. Flash-shake and dump into a double old fashioned glass. Garnish.,,,applejack,1 oz,amontillado sherry,1 oz,orgeat,.75 oz,fresh lemon juice,.75 oz,tempus fugit creme de noyaux,1 bsp,,,,,,,,,,,,,,
